perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.9101960784313727,0.9133333333333334,0.9659574468085104,0.9659574468085104,-0.0031372549019607066,0.0
88.0,0.9136,0.9132800000000001,0.9429333333333334,0.9413333333333334,0.00031999999999987594,0.0016000000000000458
86.0,0.9131199999999999,0.9126400000000002,0.9421333333333335,0.9413333333333334,0.0004799999999997029,0.0008000000000001339
84.0,0.9131200000000002,0.91408,0.9416,0.9413333333333334,-0.0009599999999998499,0.0002666666666666373
82.0,0.9139200000000001,0.9134400000000001,0.9421333333333333,0.9416,0.00047999999999992493,0.0005333333333332746
80.0,0.9147200000000002,0.9148800000000001,0.9418666666666669,0.9413333333333334,-0.00015999999999993797,0.0005333333333334966
78.0,0.9092348284960423,0.9087071240105542,0.9328502415458937,0.9341384863123994,0.0005277044854881119,-0.0012882447665056862
76.0,0.9092348284960421,0.9076517150395779,0.9325281803542671,0.9344605475040257,0.0015831134564642246,-0.0019323671497586403
74.0,0.9084432717678099,0.9081794195250661,0.932367149758454,0.9347826086956523,0.0002638522427438339,-0.0024154589371983004
72.0,0.9081794195250661,0.9058047493403695,0.9326892109500804,0.9342995169082127,0.0023746701846966145,-0.0016103059581322743
