perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.914717477003942,0.909855453350854,0.9234309623430963,0.9238493723849374,0.004862023653087966,-0.00041841004184106634
88.0,0.9075862068965517,0.9075862068965517,0.9265454545454546,0.9276363636363637,0.0,-0.0010909090909091423
86.0,0.9100689655172411,0.9063448275862068,0.9301818181818182,0.9265454545454548,0.0037241379310343214,0.0036363636363634377
84.0,0.9126760563380282,0.9107981220657277,0.9185595567867036,0.9166204986149585,0.00187793427230043,0.0019390581717451116
82.0,0.9118935837245695,0.9093896713615024,0.9157894736842106,0.9157894736842106,0.002503912363067129,0.0
80.0,0.9128325508607199,0.910641627543036,0.9171745152354571,0.9166204986149585,0.0021909233176838905,0.0005540166204985875
78.0,0.9129890453834116,0.9092331768388107,0.9182825484764541,0.9174515235457064,0.003755868544600971,0.0008310249307477147
76.0,0.9006276150627615,0.910878661087866,0.9149425287356321,0.91455938697318,-0.010251046025104515,0.0003831417624521327
74.0,0.9052301255230125,0.9106694560669457,0.9141762452107279,0.9168582375478926,-0.005439330543933196,-0.002681992337164707
72.0,0.902510460251046,0.9089958158995817,0.9151340996168582,0.9159003831417625,-0.006485355648535696,-0.0007662835249042654
