perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.909934640522876,0.9121568627450982,0.9659574468085104,0.9659574468085104,-0.0022222222222222365,0.0
88.0,0.9124800000000001,0.9148799999999999,0.9432,0.9413333333333334,-0.0023999999999998467,0.0018666666666666831
86.0,0.9124800000000001,0.9137600000000001,0.9442666666666668,0.9416,-0.0012800000000000589,0.002666666666666817
84.0,0.91232,0.91424,0.9445333333333332,0.9416000000000002,-0.0019200000000000328,0.0029333333333330103
82.0,0.91232,0.91424,0.9440000000000002,0.9416,-0.0019200000000000328,0.0024000000000001798
80.0,0.91296,0.9137600000000001,0.9450666666666668,0.9426666666666665,-0.0008000000000001339,0.002400000000000291
78.0,0.9092348284960423,0.9129287598944591,0.933011272141707,0.9326892109500806,-0.003693931398416783,0.00032206119162636604
76.0,0.9087071240105541,0.9118733509234829,0.9328502415458935,0.9326892109500804,-0.0031662269129287823,0.000161030595813072
74.0,0.9097625329815303,0.9129287598944591,0.9331723027375199,0.9331723027375199,-0.0031662269129287823,0.0
72.0,0.9089709762532984,0.9129287598944591,0.9328502415458935,0.932367149758454,-0.003957783641160728,0.00048309178743943804
