perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.9207621550591327,0.9173455978975031,0.9167364016736403,0.9188284518828453,0.0034165571616295853,-0.0020920502092049986
88.0,0.9168275862068966,0.9150344827586206,0.9254545454545454,0.925090909090909,0.00179310344827599,0.0003636363636364548
86.0,0.9187586206896551,0.9146206896551725,0.9287272727272728,0.9250909090909092,0.004137931034482567,0.0036363636363636598
84.0,0.9020344287949922,0.9175273865414713,0.9146814404432135,0.921606648199446,-0.015492957746479075,-0.00692520775623251
82.0,0.9004694835680752,0.9183098591549296,0.9157894736842106,0.9229916897506927,-0.017840375586854362,-0.007202216066482081
80.0,0.9014084507042254,0.9184663536776212,0.9155124653739612,0.9221606648199445,-0.017057902973395822,-0.006648199445983272
78.0,0.9014084507042254,0.9178403755868544,0.9149584487534627,0.9207756232686981,-0.016431924882629012,-0.005817174515235446
76.0,0.8788702928870293,0.9144351464435146,0.9183908045977012,0.9235632183908045,-0.03556485355648531,-0.005172413793103292
74.0,0.8841004184100418,0.9148535564853557,0.9166666666666666,0.9222222222222222,-0.03075313807531388,-0.005555555555555536
72.0,0.888702928870293,0.914225941422594,0.9164750957854407,0.9227969348659004,-0.02552301255230094,-0.00632183908045969
