perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.9134034165571616,0.9107752956636006,0.9255230125523013,0.9209205020920503,0.0026281208935610145,0.0046025104602509526
88.0,0.9067586206896552,0.9071724137931033,0.9283636363636365,0.9247272727272728,-0.0004137931034481346,0.0036363636363636598
86.0,0.9085517241379311,0.9073103448275862,0.9283636363636365,0.922909090909091,0.0012413793103448478,0.00545454545454549
84.0,0.895148669796557,0.9070422535211268,0.9155124653739612,0.9149584487534625,-0.011893583724569723,0.0005540166204986985
82.0,0.9023474178403756,0.9092331768388107,0.9185595567867036,0.9141274238227146,-0.006885758998435021,0.004432132963989033
80.0,0.9028169014084508,0.9095461658841941,0.9124653739612189,0.9146814404432133,-0.006729264475743291,-0.002216066481994461
78.0,0.9054773082942098,0.9097026604068856,0.9121883656509695,0.913296398891967,-0.004225352112675829,-0.001108033240997508
76.0,0.8757322175732216,0.9052301255230125,0.9151340996168583,0.9136015325670497,-0.029497907949790902,0.0015325670498086419
74.0,0.8719665271966528,0.9018828451882847,0.9132183908045975,0.9166666666666666,-0.029916317991631858,-0.0034482758620690834
72.0,0.8677824267782428,0.9056485355648535,0.9128352490421456,0.9164750957854407,-0.037866108786610675,-0.0036398467432950943
