perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.8517915309446253,0.9079804560260584,0.9360103626943005,0.9259067357512952,-0.05618892508143303,0.010103626943005262
88.0,0.8517915309446253,0.9117263843648209,0.944300518134715,0.9292746113989636,-0.059934853420195555,0.015025906735751438
86.0,0.8474999999999999,0.91425,0.9041666666666666,0.9184999999999999,-0.06675000000000009,-0.014333333333333309
84.0,0.8474999999999999,0.91325,0.8973333333333334,0.921,-0.06575000000000009,-0.023666666666666614
82.0,0.8474999999999999,0.914,0.9121666666666666,0.9173333333333332,-0.06650000000000011,-0.005166666666666653
80.0,0.8472500000000001,0.9135,0.9141666666666663,0.9218333333333334,-0.06624999999999992,-0.0076666666666670436
78.0,0.842696629213483,0.8949438202247191,0.9351581508515814,0.9300486618004866,-0.052247191011236094,0.005109489051094762
76.0,0.842696629213483,0.8921348314606741,0.9180048661800486,0.9234793187347933,-0.04943820224719109,-0.005474452554744658
74.0,0.842696629213483,0.8837078651685394,0.9173965936739659,0.9186131386861314,-0.0410112359550564,-0.0012165450121655041
72.0,0.842696629213483,0.8943820224719101,0.926155717761557,0.926155717761557,-0.05168539325842714,0.0
