perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.9100653594771243,0.9109803921568629,0.9659574468085104,0.9659574468085104,-0.000915032679738581,0.0
88.0,0.9120000000000001,0.9131199999999999,0.9421333333333335,0.9413333333333334,-0.0011199999999997878,0.0008000000000001339
86.0,0.9121600000000001,0.9131200000000002,0.9416,0.9413333333333334,-0.0009600000000000719,0.0002666666666666373
84.0,0.9121600000000001,0.9131200000000002,0.9413333333333334,0.9413333333333334,-0.0009600000000000719,0.0
82.0,0.91232,0.9134400000000001,0.9421333333333335,0.9413333333333334,-0.001120000000000121,0.0008000000000001339
80.0,0.9124800000000001,0.91264,0.9432,0.9418666666666666,-0.00015999999999993797,0.0013333333333334085
78.0,0.9094986807387861,0.9113456464379948,0.9349436392914653,0.932367149758454,-0.0018469656992086136,0.0025764895330112614
76.0,0.9084432717678101,0.9108179419525066,0.9349436392914653,0.932367149758454,-0.0023746701846965035,0.0025764895330112614
74.0,0.9079155672823219,0.9100263852242746,0.9346215780998388,0.932367149758454,-0.0021108179419526696,0.0022544283413847843
72.0,0.9079155672823221,0.9100263852242744,0.9349436392914653,0.932367149758454,-0.0021108179419522255,0.0025764895330112614
