perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.9098554533508543,0.90946123521682,0.9221757322175733,0.9246861924686194,0.0003942181340342854,-0.002510460251046065
88.0,0.9097931034482757,0.9070344827586206,0.9298181818181817,0.9280000000000002,0.0027586206896550447,0.0018181818181814968
86.0,0.9092413793103447,0.9066206896551725,0.9294545454545453,0.9280000000000002,0.002620689655172148,0.001454545454545153
84.0,0.9043818466353677,0.9087636932707355,0.9177285318559555,0.9191135734072023,-0.004381846635367781,-0.0013850415512468572
82.0,0.9054773082942097,0.9093896713615024,0.9204986149584486,0.9171745152354571,-0.003912363067292701,0.003324099722991525
80.0,0.9059467918622847,0.9090766823161189,0.9180055401662048,0.9185595567867038,-0.003129890453834272,-0.0005540166204989205
78.0,0.9062597809076681,0.9089201877934272,0.9191135734072022,0.9168975069252079,-0.0026604068857590812,0.00221606648199435
76.0,0.9031380753138076,0.9085774058577407,0.9162835249042146,0.9153256704980842,-0.005439330543933085,0.0009578544061303873
74.0,0.898326359832636,0.908786610878661,0.9157088122605364,0.9164750957854405,-0.010460251046024993,-0.0007662835249041544
72.0,0.9027196652719667,0.9085774058577407,0.9153256704980844,0.9157088122605364,-0.0058577405857740406,-0.00038314176245191067
