perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.9101960784313727,0.9105882352941178,0.9659574468085104,0.9655319148936169,-0.00039215686274507444,0.0004255319148934733
88.0,0.9121600000000001,0.91296,0.9450666666666668,0.9413333333333334,-0.0007999999999999119,0.0037333333333334773
86.0,0.91232,0.9120000000000001,0.9424000000000001,0.9426666666666668,0.00031999999999987594,-0.0002666666666666373
84.0,0.9121600000000001,0.9124800000000001,0.9434666666666669,0.9413333333333334,-0.00031999999999998696,0.0021333333333335425
82.0,0.9120000000000001,0.91264,0.9418666666666666,0.9418666666666666,-0.0006399999999998629,0.0
80.0,0.91296,0.9124800000000001,0.9421333333333333,0.9413333333333334,0.00047999999999992493,0.0007999999999999119
78.0,0.9087071240105541,0.9094986807387864,0.9318840579710143,0.9322061191626407,-0.0007915567282322789,-0.00032206119162647706
76.0,0.9092348284960423,0.9092348284960424,0.932367149758454,0.932367149758454,-1.1102230246251565e-16,0.0
74.0,0.9087071240105542,0.9094986807387864,0.9330112721417068,0.932367149758454,-0.0007915567282321678,0.0006441223832527321
72.0,0.9087071240105542,0.9116094986807388,0.932367149758454,0.932367149758454,-0.0029023746701846154,0.0
