perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.8560260586319218,0.9112377850162865,0.9437823834196891,0.9116580310880827,-0.05521172638436467,0.032124352331606376
88.0,0.8514657980456027,0.9123778501628663,0.9455958549222798,0.916062176165803,-0.06091205211726358,0.029533678756476833
86.0,0.8585,0.91875,0.9103333333333333,0.9135,-0.060249999999999915,-0.003166666666666651
84.0,0.8547500000000001,0.9175000000000001,0.9238333333333333,0.9125,-0.06274999999999997,0.011333333333333306
82.0,0.8525,0.9185000000000001,0.9075000000000001,0.9189999999999999,-0.06600000000000006,-0.011499999999999844
80.0,0.8522500000000001,0.9179999999999999,0.9189999999999999,0.9135,-0.06574999999999986,0.005499999999999949
78.0,0.842696629213483,0.9061797752808989,0.9217761557177615,0.9249391727493919,-0.0634831460674159,-0.003163017031630355
76.0,0.8443820224719101,0.900561797752809,0.9237226277372261,0.9211678832116789,-0.0561797752808989,0.00255474452554727
74.0,0.8443820224719101,0.8932584269662922,0.9183698296836985,0.9177615571776154,-0.04887640449438213,0.0006082725060830851
72.0,0.8421348314606742,0.9033707865168539,0.9276155717761558,0.922992700729927,-0.061235955056179625,0.004622871046228827
