perc,test_r,test_br,test_e,test_be,diff_r,diff_e
90.0,0.8941368078175895,0.9389250814332245,0.9595854922279793,0.9577720207253886,-0.04478827361563498,0.0018134715025907022
88.0,0.8918566775244301,0.9392508143322473,0.9603626943005181,0.955181347150259,-0.04739413680781723,0.005181347150259086
86.0,0.8960000000000001,0.9425000000000001,0.952,0.9468333333333334,-0.046499999999999986,0.005166666666666542
84.0,0.8952500000000001,0.94275,0.9498333333333335,0.9491666666666665,-0.047499999999999876,0.0006666666666670373
82.0,0.8949999999999999,0.9417500000000001,0.9511666666666667,0.9471666666666666,-0.04675000000000018,0.004000000000000115
80.0,0.8905000000000001,0.9400000000000001,0.951,0.9491666666666667,-0.04949999999999999,0.0018333333333332424
78.0,0.842696629213483,0.9404494382022472,0.9481751824817518,0.9469586374695863,-0.09775280898876426,0.0012165450121655041
76.0,0.8432584269662922,0.9415730337078653,0.9476885644768853,0.9484184914841849,-0.09831460674157311,-0.0007299270072995689
74.0,0.842696629213483,0.9398876404494383,0.9470802919708028,0.9492700729927007,-0.0971910112359553,-0.0021897810218979297
72.0,0.8438202247191011,0.940449438202247,0.9481751824817518,0.9476885644768854,-0.0966292134831459,0.0004866180048663793
